question_id,question_var_id,answer_var_id,question,answer_options,num_scale,question_type,subject,source,shuffle_seed,n_options,polarity,Llama-3.1-8B-Instruct,gemma-2-9b-it,Mistral-7B-Instruct-v0.3,Qwen2.5-7B-Instruct
22,1,5,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['Not too much', 'A fair amount', 'None at all', 'A lot', ""Don't know"", 'Refused']","[-0.33333333, 0.33333333, -1.0, 1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,67.0,6,unipolar,1,5,1,1
22,1,6,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['A lot', 'None at all', 'Not too much', 'A fair amount', ""Don't know"", 'Refused']","[1.0, -1.0, -0.33333333, 0.33333333, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,101.0,6,unipolar,3,5,4,4
23,1,1,"How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?","['A lot', 'A fair amount', 'Not too much', 'None at all', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,,6,unipolar,3,3,5,5
23,1,2,"How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?","['A fair amount', 'Not too much', 'None at all', 'A lot', ""Don't know"", 'Refused']","[0.33333333, -0.33333333, -1.0, 1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,2.0,6,unipolar,2,5,2,2
23,1,3,"How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?","['None at all', 'A fair amount', 'A lot', 'Not too much', ""Don't know"", 'Refused']","[-1.0, 0.33333333, 1.0, -0.33333333, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,7.0,6,unipolar,1,5,5,1
23,1,4,"How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?","['None at all', 'Not too much', 'A fair amount', 'A lot', ""Don't know"", 'Refused']","[-1.0, -0.33333333, 0.33333333, 1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,10.0,6,unipolar,2,5,5,1
23,1,5,"How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?","['Not too much', 'A fair amount', 'None at all', 'A lot', ""Don't know"", 'Refused']","[-0.33333333, 0.33333333, -1.0, 1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,67.0,6,unipolar,3,5,1,1
23,1,6,"How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?","['A lot', 'None at all', 'Not too much', 'A fair amount', ""Don't know"", 'Refused']","[1.0, -1.0, -0.33333333, 0.33333333, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,101.0,6,unipolar,3,5,5,5
24,1,1,"How much, if at all, do you think family instability contributes to gun violence in the country today?","['A lot', 'A fair amount', 'Not too much', 'None at all', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,,6,unipolar,2,5,2,1
24,1,2,"How much, if at all, do you think family instability contributes to gun violence in the country today?","['A fair amount', 'Not too much', 'None at all', 'A lot', ""Don't know"", 'Refused']","[0.33333333, -0.33333333, -1.0, 1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,2.0,6,unipolar,2,5,1,1
24,1,3,"How much, if at all, do you think family instability contributes to gun violence in the country today?","['None at all', 'A fair amount', 'A lot', 'Not too much', ""Don't know"", 'Refused']","[-1.0, 0.33333333, 1.0, -0.33333333, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,7.0,6,unipolar,2,5,5,2
24,1,4,"How much, if at all, do you think family instability contributes to gun violence in the country today?","['None at all', 'Not too much', 'A fair amount', 'A lot', ""Don't know"", 'Refused']","[-1.0, -0.33333333, 0.33333333, 1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,10.0,6,unipolar,3,3,5,3
24,1,5,"How much, if at all, do you think family instability contributes to gun violence in the country today?","['Not too much', 'A fair amount', 'None at all', 'A lot', ""Don't know"", 'Refused']","[-0.33333333, 0.33333333, -1.0, 1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,67.0,6,unipolar,2,5,1,1
24,1,6,"How much, if at all, do you think family instability contributes to gun violence in the country today?","['A lot', 'None at all', 'Not too much', 'A fair amount', ""Don't know"", 'Refused']","[1.0, -1.0, -0.33333333, 0.33333333, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,101.0,6,unipolar,4,5,4,4
32,1,1,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns in a locked place,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,,6,unipolar,2,2,1,1
32,1,2,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns in a locked place,"['Somewhat important', 'Not too important', 'Not at all important', 'Very important', ""Don't know"", 'Refused']","[0.33333333, -0.33333333, -1.0, 1.0, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,2.0,6,unipolar,4,4,4,4
32,1,3,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns in a locked place,"['Not at all important', 'Somewhat important', 'Very important', 'Not too important', ""Don't know"", 'Refused']","[-1.0, 0.33333333, 1.0, -0.33333333, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,7.0,6,unipolar,3,3,3,3
32,1,4,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns in a locked place,"['Not at all important', 'Not too important', 'Somewhat important', 'Very important', ""Don't know"", 'Refused']","[-1.0, -0.33333333, 0.33333333, 1.0, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,10.0,6,unipolar,3,3,3,4
32,1,5,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns in a locked place,"['Not too important', 'Somewhat important', 'Not at all important', 'Very important', ""Don't know"", 'Refused']","[-0.33333333, 0.33333333, -1.0, 1.0, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,67.0,6,unipolar,2,4,4,4
32,1,6,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns in a locked place,"['Very important', 'Not at all important', 'Not too important', 'Somewhat important', ""Don't know"", 'Refused']","[1.0, -1.0, -0.33333333, 0.33333333, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,101.0,6,unipolar,4,4,1,1
33,1,1,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns unloaded,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,,6,unipolar,2,3,2,1
33,1,2,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns unloaded,"['Somewhat important', 'Not too important', 'Not at all important', 'Very important', ""Don't know"", 'Refused']","[0.33333333, -0.33333333, -1.0, 1.0, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,2.0,6,unipolar,4,2,4,4
33,1,3,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns unloaded,"['Not at all important', 'Somewhat important', 'Very important', 'Not too important', ""Don't know"", 'Refused']","[-1.0, 0.33333333, 1.0, -0.33333333, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,7.0,6,unipolar,2,5,2,3
33,1,4,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns unloaded,"['Not at all important', 'Not too important', 'Somewhat important', 'Very important', ""Don't know"", 'Refused']","[-1.0, -0.33333333, 0.33333333, 1.0, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,10.0,6,unipolar,3,3,3,3
33,1,5,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns unloaded,"['Not too important', 'Somewhat important', 'Not at all important', 'Very important', ""Don't know"", 'Refused']","[-0.33333333, 0.33333333, -1.0, 1.0, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,67.0,6,unipolar,2,2,2,4
33,1,6,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns unloaded,"['Very important', 'Not at all important', 'Not too important', 'Somewhat important', ""Don't know"", 'Refused']","[1.0, -1.0, -0.33333333, 0.33333333, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,101.0,6,unipolar,4,5,4,1
34,1,1,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Take gun safety courses,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,,6,unipolar,2,2,1,1
34,1,2,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Take gun safety courses,"['Somewhat important', 'Not too important', 'Not at all important', 'Very important', ""Don't know"", 'Refused']","[0.33333333, -0.33333333, -1.0, 1.0, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,2.0,6,unipolar,4,4,4,1
34,1,3,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Take gun safety courses,"['Not at all important', 'Somewhat important', 'Very important', 'Not too important', ""Don't know"", 'Refused']","[-1.0, 0.33333333, 1.0, -0.33333333, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,7.0,6,unipolar,2,3,3,3
34,1,4,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Take gun safety courses,"['Not at all important', 'Not too important', 'Somewhat important', 'Very important', ""Don't know"", 'Refused']","[-1.0, -0.33333333, 0.33333333, 1.0, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,10.0,6,unipolar,3,3,3,4
34,1,5,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Take gun safety courses,"['Not too important', 'Somewhat important', 'Not at all important', 'Very important', ""Don't know"", 'Refused']","[-0.33333333, 0.33333333, -1.0, 1.0, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,67.0,6,unipolar,2,4,4,4
34,1,6,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Take gun safety courses,"['Very important', 'Not at all important', 'Not too important', 'Somewhat important', ""Don't know"", 'Refused']","[1.0, -1.0, -0.33333333, 0.33333333, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,101.0,6,unipolar,4,4,1,1
35,1,1,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Advise visitors that there are guns in the house,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,,6,unipolar,2,2,1,2
35,1,2,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Advise visitors that there are guns in the house,"['Somewhat important', 'Not too important', 'Not at all important', 'Very important', ""Don't know"", 'Refused']","[0.33333333, -0.33333333, -1.0, 1.0, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,2.0,6,unipolar,2,3,4,1
35,1,3,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Advise visitors that there are guns in the house,"['Not at all important', 'Somewhat important', 'Very important', 'Not too important', ""Don't know"", 'Refused']","[-1.0, 0.33333333, 1.0, -0.33333333, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,7.0,6,unipolar,2,3,3,2
35,1,4,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Advise visitors that there are guns in the house,"['Not at all important', 'Not too important', 'Somewhat important', 'Very important', ""Don't know"", 'Refused']","[-1.0, -0.33333333, 0.33333333, 1.0, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,10.0,6,unipolar,3,3,3,3
35,1,5,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Advise visitors that there are guns in the house,"['Not too important', 'Somewhat important', 'Not at all important', 'Very important', ""Don't know"", 'Refused']","[-0.33333333, 0.33333333, -1.0, 1.0, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,67.0,6,unipolar,2,2,2,2
35,1,6,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Advise visitors that there are guns in the house,"['Very important', 'Not at all important', 'Not too important', 'Somewhat important', ""Don't know"", 'Refused']","[1.0, -1.0, -0.33333333, 0.33333333, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,101.0,6,unipolar,4,4,1,1
36,1,1,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Advise visitors with children that there are guns in the house,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,,6,unipolar,2,2,1,1
36,1,2,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Advise visitors with children that there are guns in the house,"['Somewhat important', 'Not too important', 'Not at all important', 'Very important', ""Don't know"", 'Refused']","[0.33333333, -0.33333333, -1.0, 1.0, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,2.0,6,unipolar,2,4,4,4
36,1,3,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Advise visitors with children that there are guns in the house,"['Not at all important', 'Somewhat important', 'Very important', 'Not too important', ""Don't know"", 'Refused']","[-1.0, 0.33333333, 1.0, -0.33333333, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,7.0,6,unipolar,2,3,3,3
36,1,4,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Advise visitors with children that there are guns in the house,"['Not at all important', 'Not too important', 'Somewhat important', 'Very important', ""Don't know"", 'Refused']","[-1.0, -0.33333333, 0.33333333, 1.0, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,10.0,6,unipolar,3,3,3,4
36,1,5,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Advise visitors with children that there are guns in the house,"['Not too important', 'Somewhat important', 'Not at all important', 'Very important', ""Don't know"", 'Refused']","[-0.33333333, 0.33333333, -1.0, 1.0, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,67.0,6,unipolar,2,4,4,4
36,1,6,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Advise visitors with children that there are guns in the house,"['Very important', 'Not at all important', 'Not too important', 'Somewhat important', ""Don't know"", 'Refused']","[1.0, -1.0, -0.33333333, 0.33333333, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,101.0,6,unipolar,4,4,1,1
37,1,1,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Store guns and ammunition separately,"['Very important', 'Somewhat important', 'Not too important', 'Not at all important', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,,6,unipolar,2,2,1,1
37,1,2,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Store guns and ammunition separately,"['Somewhat important', 'Not too important', 'Not at all important', 'Very important', ""Don't know"", 'Refused']","[0.33333333, -0.33333333, -1.0, 1.0, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,2.0,6,unipolar,4,4,4,4
37,1,3,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Store guns and ammunition separately,"['Not at all important', 'Somewhat important', 'Very important', 'Not too important', ""Don't know"", 'Refused']","[-1.0, 0.33333333, 1.0, -0.33333333, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,7.0,6,unipolar,2,3,3,3
37,1,4,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Store guns and ammunition separately,"['Not at all important', 'Not too important', 'Somewhat important', 'Very important', ""Don't know"", 'Refused']","[-1.0, -0.33333333, 0.33333333, 1.0, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,10.0,6,unipolar,3,4,3,4
37,1,5,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Store guns and ammunition separately,"['Not too important', 'Somewhat important', 'Not at all important', 'Very important', ""Don't know"", 'Refused']","[-0.33333333, 0.33333333, -1.0, 1.0, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,67.0,6,unipolar,2,4,4,4
37,1,6,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Store guns and ammunition separately,"['Very important', 'Not at all important', 'Not too important', 'Somewhat important', ""Don't know"", 'Refused']","[1.0, -1.0, -0.33333333, 0.33333333, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,101.0,6,unipolar,4,4,1,1
38,1,1,"Thinking about gun owners who have children in their home, how important do you think it is for them to: Advise visitors that there are guns in the house","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,,6,unipolar,2,2,1,1
38,1,2,"Thinking about gun owners who have children in their home, how important do you think it is for them to: Advise visitors that there are guns in the house","['Somewhat important', 'Not too important', 'Not at all important', 'Very important', ""Don't know"", 'Refused']","[0.33333333, -0.33333333, -1.0, 1.0, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,2.0,6,unipolar,4,4,4,4
38,1,3,"Thinking about gun owners who have children in their home, how important do you think it is for them to: Advise visitors that there are guns in the house","['Not at all important', 'Somewhat important', 'Very important', 'Not too important', ""Don't know"", 'Refused']","[-1.0, 0.33333333, 1.0, -0.33333333, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,7.0,6,unipolar,2,3,3,3
38,1,4,"Thinking about gun owners who have children in their home, how important do you think it is for them to: Advise visitors that there are guns in the house","['Not at all important', 'Not too important', 'Somewhat important', 'Very important', ""Don't know"", 'Refused']","[-1.0, -0.33333333, 0.33333333, 1.0, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,10.0,6,unipolar,3,4,4,4
38,1,5,"Thinking about gun owners who have children in their home, how important do you think it is for them to: Advise visitors that there are guns in the house","['Not too important', 'Somewhat important', 'Not at all important', 'Very important', ""Don't know"", 'Refused']","[-0.33333333, 0.33333333, -1.0, 1.0, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,67.0,6,unipolar,2,4,4,4
38,1,6,"Thinking about gun owners who have children in their home, how important do you think it is for them to: Advise visitors that there are guns in the house","['Very important', 'Not at all important', 'Not too important', 'Somewhat important', ""Don't know"", 'Refused']","[1.0, -1.0, -0.33333333, 0.33333333, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,101.0,6,unipolar,4,4,1,1
39,1,1,"Thinking about gun owners who have children in their home, how important do you think it is for them to: Advise visitors with children that there are guns in the house","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,,6,unipolar,2,2,1,1
39,1,2,"Thinking about gun owners who have children in their home, how important do you think it is for them to: Advise visitors with children that there are guns in the house","['Somewhat important', 'Not too important', 'Not at all important', 'Very important', ""Don't know"", 'Refused']","[0.33333333, -0.33333333, -1.0, 1.0, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,2.0,6,unipolar,4,4,4,4
39,1,3,"Thinking about gun owners who have children in their home, how important do you think it is for them to: Advise visitors with children that there are guns in the house","['Not at all important', 'Somewhat important', 'Very important', 'Not too important', ""Don't know"", 'Refused']","[-1.0, 0.33333333, 1.0, -0.33333333, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,7.0,6,unipolar,2,3,3,3
39,1,4,"Thinking about gun owners who have children in their home, how important do you think it is for them to: Advise visitors with children that there are guns in the house","['Not at all important', 'Not too important', 'Somewhat important', 'Very important', ""Don't know"", 'Refused']","[-1.0, -0.33333333, 0.33333333, 1.0, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,10.0,6,unipolar,3,4,4,4
39,1,5,"Thinking about gun owners who have children in their home, how important do you think it is for them to: Advise visitors with children that there are guns in the house","['Not too important', 'Somewhat important', 'Not at all important', 'Very important', ""Don't know"", 'Refused']","[-0.33333333, 0.33333333, -1.0, 1.0, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,67.0,6,unipolar,2,4,4,4
39,1,6,"Thinking about gun owners who have children in their home, how important do you think it is for them to: Advise visitors with children that there are guns in the house","['Very important', 'Not at all important', 'Not too important', 'Somewhat important', ""Don't know"", 'Refused']","[1.0, -1.0, -0.33333333, 0.33333333, -98, -99]",Importance,Guns,Pew_American_Trends_Panel_disagreement_500.csv,101.0,6,unipolar,4,4,1,1
48,1,1,"In general, how much pressure, if any, do you think men face in our country these days to be interested in sports?","['A lot', 'A fair amount', 'Not too much', 'None at all', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Quantity,General Opinion,Pew_American_Trends_Panel_disagreement_500.csv,,6,unipolar,3,3,3,3
48,1,2,"In general, how much pressure, if any, do you think men face in our country these days to be interested in sports?","['A fair amount', 'Not too much', 'None at all', 'A lot', ""Don't know"", 'Refused']","[0.33333333, -0.33333333, -1.0, 1.0, -98, -99]",Quantity,General Opinion,Pew_American_Trends_Panel_disagreement_500.csv,2.0,6,unipolar,2,2,2,1
48,1,3,"In general, how much pressure, if any, do you think men face in our country these days to be interested in sports?","['None at all', 'A fair amount', 'A lot', 'Not too much', ""Don't know"", 'Refused']","[-1.0, 0.33333333, 1.0, -0.33333333, -98, -99]",Quantity,General Opinion,Pew_American_Trends_Panel_disagreement_500.csv,7.0,6,unipolar,2,2,5,2
48,1,4,"In general, how much pressure, if any, do you think men face in our country these days to be interested in sports?","['None at all', 'Not too much', 'A fair amount', 'A lot', ""Don't know"", 'Refused']","[-1.0, -0.33333333, 0.33333333, 1.0, -98, -99]",Quantity,General Opinion,Pew_American_Trends_Panel_disagreement_500.csv,10.0,6,unipolar,3,2,2,3
48,1,5,"In general, how much pressure, if any, do you think men face in our country these days to be interested in sports?","['Not too much', 'A fair amount', 'None at all', 'A lot', ""Don't know"", 'Refused']","[-0.33333333, 0.33333333, -1.0, 1.0, -98, -99]",Quantity,General Opinion,Pew_American_Trends_Panel_disagreement_500.csv,67.0,6,unipolar,2,2,1,1
48,1,6,"In general, how much pressure, if any, do you think men face in our country these days to be interested in sports?","['A lot', 'None at all', 'Not too much', 'A fair amount', ""Don't know"", 'Refused']","[1.0, -1.0, -0.33333333, 0.33333333, -98, -99]",Quantity,General Opinion,Pew_American_Trends_Panel_disagreement_500.csv,101.0,6,unipolar,3,3,3,4
49,1,1,"In general, how much pressure, if any, do you think men face in our country these days to have many sexual partners?","['A lot', 'A fair amount', 'Not too much', 'None at all', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Quantity,General Opinion,Pew_American_Trends_Panel_disagreement_500.csv,,6,unipolar,3,3,3,2
49,1,2,"In general, how much pressure, if any, do you think men face in our country these days to have many sexual partners?","['A fair amount', 'Not too much', 'None at all', 'A lot', ""Don't know"", 'Refused']","[0.33333333, -0.33333333, -1.0, 1.0, -98, -99]",Quantity,General Opinion,Pew_American_Trends_Panel_disagreement_500.csv,2.0,6,unipolar,2,2,2,1
