question_id,question_var_id,answer_var_id,question,answer_options,source,decision,subject,question_type
64,1,1,How much do you agree or disagree with the following statement? I am very optimistic about the future of the Democratic Party.,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,Agreement
66,1,1,How much do you agree or disagree with the following statement? Generally speaking most people can be trusted to do the right thing.,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",Pew_American_Trends_Panel_W32.csv,keep,Trust & Fear,Agreement
67,1,1,How much do you agree or disagree with the following statement? Generally speaking most people can not be trusted to do the right thing.,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",Pew_American_Trends_Panel_W32.csv,keep,Trust & Fear,Agreement
68,1,1,How much do you agree or disagree with the following statement? Generally speaking you can't be too careful in dealing with people,"['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Trust & Fear,Agreement
76,1,1,"How much do you agree or disagree with the following statement? In the long run, increased focus on sexual harassment and assault will lead to more opportunities for women in the workplace","['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Crime,Agreement
77,1,1,"How much do you agree or disagree with the following statement? In the long run, increased focus on sexual harassment and assault will lead to fewer opportunities for women in the workplace","['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Crime,Agreement
86,1,1,"According to the U.S. Census Bureau, in the next 25 to 30 years, African Americans, Latinos, and people of Asian descent will make up a majority of the population. In general, do you think that this is good or bad for the country?","['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Race & Ethnicity,GoodOrBad
87,1,1,"On a different subject how much, if at all, do white people benefit from advantages in society that black people do not have?","['A lot', 'A fair amount', 'Not too much', 'None at all']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Race & Ethnicity,Quantity
88,1,1,"As you may know, same-sex marriage is now legal in the U.S. Do you think this is good or bad for our society?","['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Social,GoodOrBad
93,1,1,Do you think organic fruits and vegetables are generally better or worse for one's health than conventionally grown foods?,"['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",Pew_American_Trends_Panel_disagreement_500.csv,keep,General Opinion,BetterOrWorse
94,1,1,"How much health risk, if any, does eating meat from animals that have been given antibiotics or hormones have for the average person over the course of their lifetime?","['A lot', 'A fair amount', 'Not too much', 'None at all']",Pew_American_Trends_Panel_disagreement_500.csv,keep,General Opinion,Quantity
95,1,1,"How much health risk, if any, does eating food and drinks with artificial coloring have for the average person over the course of their lifetime?","['A lot', 'A fair amount', 'Not too much', 'None at all']",Pew_American_Trends_Panel_disagreement_500.csv,keep,General Opinion,Quantity
96,1,1,"How much health risk, if any, does eating food and drinks with artificial preservatives have for the average person over the course of their lifetime?","['A lot', 'A fair amount', 'Not too much', 'None at all']",Pew_American_Trends_Panel_disagreement_500.csv,keep,General Opinion,Quantity
97,1,1,"Even if you are not sure, which is closer to your views? Do you think foods with genetically modified ingredients are generally better or worse for your health than foods with no genetically modified ingredients?","['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",Pew_American_Trends_Panel_disagreement_500.csv,keep,General Opinion,BetterOrWorse
98,1,1,"How much do you, personally, care about the issue of genetically modified foods?","['A lot', 'A fair amount', 'Not too much', 'None at all']",Pew_American_Trends_Panel_disagreement_500.csv,keep,General Opinion,Quantity
99,1,1,How likely is it that genetically modified foods will lead to more affordably-priced food,"['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely']",Pew_American_Trends_Panel_disagreement_500.csv,keep,General Opinion,Likelihood
100,1,1,How likely is it that genetically modified foods will lead to health problems for the population as a whole,"['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely']",Pew_American_Trends_Panel_disagreement_500.csv,keep,General Opinion,Likelihood
101,1,1,How likely is it that genetically modified foods will create problems for the environment,"['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely']",Pew_American_Trends_Panel_disagreement_500.csv,keep,General Opinion,Likelihood
104,1,1,"In general, how important, if at all, is it to you for someone in high political office to be honest and ethical?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,Importance
105,1,1,"In general, how important, if at all, is it to you for someone in high political office to be compassionate and empathetic?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,Importance
106,1,1,"In general, how important, if at all, is it to you for someone in high political office to work well under pressure?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,Importance
107,1,1,"In general, how important, if at all, is it to you for someone in high political office to be persuasive?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,Importance
108,1,1,"In general, how important, if at all, is it to you for someone in high political office to maintain a tone of civility and respect in politics?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,Importance
109,1,1,"In general, how important, if at all, is it to you for someone in a top executive business position to be willing to take risks?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Economy & Work,Importance
110,1,1,"In general, how important, if at all, is it to you for someone in a top executive business position to provide guidance or mentorship to young employees?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Economy & Work,Importance
111,1,1,"How much, if anything, do you think having more women in top leadership positions in business and government would do to improve the quality of life for women?","['A lot', 'A fair amount', 'Not too much', 'None at all']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Economy & Work,Quantity
112,1,1,"How much, if anything, do you think having more women in top leadership positions in business and government would do to improve the quality of life for men?","['A lot', 'A fair amount', 'Not too much', 'None at all']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Economy & Work,Quantity
113,1,1,"How much, if anything, do you think having more women in top leadership positions in business and government would do to improve the quality of life for all Americans?","['A lot', 'A fair amount', 'Not too much', 'None at all']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Economy & Work,Quantity
114,1,1,To what extent do you think the following is a reason why there are fewer women than men in high political offices? Many Americans aren't ready to elect a woman to higher office,"['A lot', 'A fair amount', 'Not too much', 'None at all']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,Quantity
115,1,1,To what extent do you think the following is a reason why there are fewer women than men in high political offices? Women in politics face gender discrimination,"['A lot', 'A fair amount', 'Not too much', 'None at all']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,Quantity
116,1,1,To what extent do you think the following is a reason why there are fewer women than men in high political offices? Family responsibilities make it harder for women to run for higher office,"['A lot', 'A fair amount', 'Not too much', 'None at all']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,Quantity
117,1,1,To what extent do you think the following is a reason why there are fewer women than men in high political offices? Fewer women have the experience required for higher office,"['A lot', 'A fair amount', 'Not too much', 'None at all']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,Quantity
118,1,1,To what extent do you think the following is a reason why there are fewer women than men in high political offices? Women who run for office are held to higher standards than men,"['A lot', 'A fair amount', 'Not too much', 'None at all']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,Quantity
119,1,1,To what extent do you think the following is a reason why there are fewer women than men in high political offices? Not as many women are interested in holding higher office,"['A lot', 'A fair amount', 'Not too much', 'None at all']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,Quantity
120,1,1,To what extent do you think the following is a reason why there are fewer women than men in high political offices? Women aren't encouraged to pursue leadership positions from an early age,"['A lot', 'A fair amount', 'Not too much', 'None at all']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,Quantity
121,1,1,To what extent do you think the following is a reason why there are fewer women than men in high political offices? Women don't do as good of a job selling their accomplishments,"['A lot', 'A fair amount', 'Not too much', 'None at all']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,Quantity
122,1,1,To what extent do you think the following is a reason why there are fewer women than men in high political offices? Sexual harassment creates an environment that makes it harder for women to succeed in politics,"['A lot', 'A fair amount', 'Not too much', 'None at all']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,Quantity
123,1,1,To what extent do you think the following is a reason why there aren't more women in top executive business positions? Many businesses are not ready to hire women for top executive positions,"['A lot', 'A fair amount', 'Not too much', 'None at all']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Economy & Work,Quantity
124,1,1,To what extent do you think the following is a reason why there aren't more women in top executive business positions? Women in business face gender discrimination,"['A lot', 'A fair amount', 'Not too much', 'None at all']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Economy & Work,Quantity
125,1,1,To what extent do you think the following is a reason why there aren't more women in top executive business positions? Women aren't tough enough for business,"['A lot', 'A fair amount', 'Not too much', 'None at all']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Economy & Work,Quantity
126,1,1,To what extent do you think the following is a reason why there aren't more women in top executive business positions? Women don't make as good managers as men,"['A lot', 'A fair amount', 'Not too much', 'None at all']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Economy & Work,Quantity
127,1,1,To what extent do you think the following is a reason why there aren't more women in top executive business positions? Women are held to higher standards than men,"['A lot', 'A fair amount', 'Not too much', 'None at all']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Economy & Work,Quantity
128,1,1,To what extent do you think the following is a reason why there aren't more women in top executive business positions? Women have to more to prove themselves than men,"['A lot', 'A fair amount', 'Not too much', 'None at all']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Economy & Work,Quantity
129,1,1,To what extent do you think the following is a reason why there aren't more women in top executive business positions? Women aren't encouraged to pursue leadership positions from an early age,"['A lot', 'A fair amount', 'Not too much', 'None at all']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Economy & Work,Quantity
130,1,1,To what extent do you think the following is a reason why there aren't more women in top executive business positions? Women have fewer opportunities to interact with people in senior positions outside of work,"['A lot', 'A fair amount', 'Not too much', 'None at all']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Economy & Work,Quantity
131,1,1,To what extent do you think the following is a reason why there aren't more women in top executive business positions? Women are less likely than men to ask for promotions and raises,"['A lot', 'A fair amount', 'Not too much', 'None at all']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Economy & Work,Quantity
132,1,1,To what extent do you think the following is a reason why there aren't more women in top executive business positions? Sexual harassment creates an environment that makes it harder for women to succeed in business,"['A lot', 'A fair amount', 'Not too much', 'None at all']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Economy & Work,Quantity
133,1,1,To what extent do you think the following is a reason why you think the higher education system in the U.S. is going in the wrong direction? Professors are bringing their political and social views into the classroom,"['A lot', 'A fair amount', 'Not too much', 'None at all']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,Quantity
134,1,1,To what extent do you think the following is a reason why you think the higher education system in the U.S. is going in the wrong direction? Colleges and universities are too concerned about protecting students from views they might find offensive,"['A lot', 'A fair amount', 'Not too much', 'None at all']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,Quantity
135,1,1,"In general, do you think men in high political offices are better or worse than women in high political offices at being compassionate and empathetic?","['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,BetterOrWorse
136,1,1,"In general, do you think women in high political offices are better or worse than men in high political offices at being compassionate and empathetic?","['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,BetterOrWorse
137,1,1,"In general, do you think men in high political offices are better or worse than women in high political offices at being willing to take risks?","['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,BetterOrWorse
138,1,1,"In general, do you think women in high political offices are better or worse than men in high political offices at being willing to take risks?","['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,BetterOrWorse
139,1,1,"In general, do you think men in high political offices are better or worse than women in high political offices at serving as a role model for children?","['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,BetterOrWorse
140,1,1,"In general, do you think women in high political offices are better or worse than men in high political offices at serving as a role model for children?","['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,BetterOrWorse
141,1,1,"In general, do you think men in high political offices are better or worse than women in high political offices at handling economic conditions?","['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,BetterOrWorse
142,1,1,"In general, do you think women in high political offices are better or worse than men in high political offices at handling economic conditions?","['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,BetterOrWorse
143,1,1,"In general, do you think men in high political offices are better or worse than women in high political offices at dealing with immigration policy?","['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,BetterOrWorse
144,1,1,"In general, do you think women in high political offices are better or worse than men in high political offices at dealing with immigration policy?","['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,BetterOrWorse
145,1,1,"In general, do you think men in high political offices are better or worse than women in high political offices at dealing with national security and defense?","['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,BetterOrWorse
146,1,1,"In general, do you think women in high political offices are better or worse than men in high political offices at dealing with national security and defense?","['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,BetterOrWorse
147,1,1,"In general, do you think men in high political offices are better or worse than women in high political offices at dealing with gun policy?","['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,BetterOrWorse
148,1,1,"In general, do you think women in high political offices are better or worse than men in high political offices at dealing with gun policy?","['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,BetterOrWorse
149,1,1,"In general, do you think men in top executive business positions are better or worse than women in top executive business positions at working well under pressure?","['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Economy & Work,BetterOrWorse
150,1,1,"In general, do you think women in top executive business positions are better or worse than men in top executive business positions at working well under pressure?","['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Economy & Work,BetterOrWorse
151,1,1,"In general, do you think men in top executive business positions are better or worse than women in top executive business positions at being willing to take risks?","['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Economy & Work,BetterOrWorse
152,1,1,"In general, do you think women in top executive business positions are better or worse than men in top executive business positions at being willing to take risks?","['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Economy & Work,BetterOrWorse
153,1,1,"In general, do you think men in top executive business positions are better or worse than women in top executive business positions at negotiating profitable deals?","['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Economy & Work,BetterOrWorse
154,1,1,"In general, do you think women in top executive business positions are better or worse than men in top executive business positions at negotiating profitable deals?","['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Economy & Work,BetterOrWorse
155,1,1,"In general, do you think men in top executive business positions would do a better or worse job than women in top executive business positions running large bank or financial institution types of companies?","['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Economy & Work,BetterOrWorse
156,1,1,"In general, do you think women in top executive business positions would do a better or worse job than men in top executive business positions running large bank or financial institution types of companies?","['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Economy & Work,BetterOrWorse
157,1,1,"In general, do you think men in top executive business positions would do a better or worse job than women in top executive business positions running major hospital types of companies?","['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Economy & Work,BetterOrWorse
158,1,1,"In general, do you think women in top executive business positions would do a better or worse job than men in top executive business positions running major hospital types of companies?","['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Economy & Work,BetterOrWorse
159,1,1,"In general, do you think men in top executive business positions would do a better or worse job than women in top executive business positions running professional sports team types of companies?","['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Economy & Work,BetterOrWorse
160,1,1,"In general, do you think women in top executive business positions would do a better or worse job than men in top executive business positions running professional sports team types of companies?","['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Economy & Work,BetterOrWorse
161,1,1,"In general, how positive or negative of an impact do you think does being decisive has on a woman's chances of getting elected to high political office?","['Very positive', 'Mostly positive', 'Neither positive nor negative', 'Mostly negative', 'Very negative']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,PositiveNegative
162,1,1,"In general, how positive or negative of an impact do you think does being ambitious has on a woman's chances of getting elected to high political office?","['Very positive', 'Mostly positive', 'Neither positive nor negative', 'Mostly negative', 'Very negative']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,PositiveNegative
163,1,1,"In general, how positive or negative of an impact do you think does being approachable has on a woman's chances of getting elected to high political office?","['Very positive', 'Mostly positive', 'Neither positive nor negative', 'Mostly negative', 'Very negative']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,PositiveNegative
164,1,1,"In general, how positive or negative of an impact do you think does being assertive has on a woman's chances of getting elected to high political office?","['Very positive', 'Mostly positive', 'Neither positive nor negative', 'Mostly negative', 'Very negative']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,PositiveNegative
165,1,1,"In general, how positive or negative of an impact do you think does showing emotions has on a woman's chances of getting elected to high political office?","['Very positive', 'Mostly positive', 'Neither positive nor negative', 'Mostly negative', 'Very negative']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,PositiveNegative
166,1,1,"In general, how positive or negative of an impact do you think does being physically attractive has on a woman's chances of getting elected to high political office?","['Very positive', 'Mostly positive', 'Neither positive nor negative', 'Mostly negative', 'Very negative']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,PositiveNegative
167,1,1,"In general, how positive or negative of an impact do you think does being compassionate has on a man's chances of getting elected to high political office?","['Very positive', 'Mostly positive', 'Neither positive nor negative', 'Mostly negative', 'Very negative']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,PositiveNegative
168,1,1,"In general, how positive or negative of an impact do you think does being ambitious has on a man's chances of getting elected to high political office?","['Very positive', 'Mostly positive', 'Neither positive nor negative', 'Mostly negative', 'Very negative']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,PositiveNegative
169,1,1,"In general, how positive or negative of an impact do you think does being approachable has on a man's chances of getting elected to high political office?","['Very positive', 'Mostly positive', 'Neither positive nor negative', 'Mostly negative', 'Very negative']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,PositiveNegative
170,1,1,"In general, how positive or negative of an impact do you think does being assertive has on a man's chances of getting elected to high political office?","['Very positive', 'Mostly positive', 'Neither positive nor negative', 'Mostly negative', 'Very negative']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,PositiveNegative
171,1,1,"In general, how positive or negative of an impact do you think does showing emotions has on a man's chances of getting elected to high political office?","['Very positive', 'Mostly positive', 'Neither positive nor negative', 'Mostly negative', 'Very negative']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,PositiveNegative
172,1,1,"In general, how positive or negative of an impact do you think does being physically attractive has on a man's chances of getting elected to high political office?","['Very positive', 'Mostly positive', 'Neither positive nor negative', 'Mostly negative', 'Very negative']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,PositiveNegative
173,1,1,"In general, do you think it is better or worse for a woman who wants to reach high political office to have children before entering politics?","['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,BetterOrWorse
174,1,1,"In general, do you think it is better or worse for a woman who wants to reach high political office to wait until she is well established in her political career before having children?","['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Politics & Government,BetterOrWorse
175,1,1,"In general, how positive or negative of an impact do you think does being ambitious has on a woman's chances of getting a top executive business position?","['Very positive', 'Mostly positive', 'Neither positive nor negative', 'Mostly negative', 'Very negative']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Economy & Work,PositiveNegative
176,1,1,"In general, how positive or negative of an impact do you think does being approachable has on a woman's chances of getting a top executive business position?","['Very positive', 'Mostly positive', 'Neither positive nor negative', 'Mostly negative', 'Very negative']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Economy & Work,PositiveNegative
177,1,1,"In general, how positive or negative of an impact do you think does being assertive has on a woman's chances of getting a top executive business position?","['Very positive', 'Mostly positive', 'Neither positive nor negative', 'Mostly negative', 'Very negative']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Economy & Work,PositiveNegative
178,1,1,"In general, how positive or negative of an impact do you think does being physically attractive has on a woman's chances of getting a top executive business position?","['Very positive', 'Mostly positive', 'Neither positive nor negative', 'Mostly negative', 'Very negative']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Economy & Work,PositiveNegative
179,1,1,"In general, how positive or negative of an impact do you think does being ambitious has on a man's chances of getting a top executive business position?","['Very positive', 'Mostly positive', 'Neither positive nor negative', 'Mostly negative', 'Very negative']",Pew_American_Trends_Panel_disagreement_500.csv,keep,Economy & Work,PositiveNegative
