question_id;question_var_id;answer_var_id;question;answer_options;source;decision;subject
15;1;1;Does having a gun in your household make you feel;['Safer than you would feel without a gun in your household', 'Less safe than you would feel without a gun in your household', 'No more or less safe', 'Refused'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Guns
16;1;1;Thinking about when you're at home, would you say there is a gun that is both loaded and easily accessible to you;['All of the time', 'Most of the time', 'Only some of the time', 'Never', 'Refused'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Guns
17;1;1;In general, as far as you know, how many of the guns in your home would you say are kept in a locked place?;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Guns
18;1;1;In general, as far as you know, how many of the guns in your home would you say are kept loaded?;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Guns
19;1;1;In general, is the gun in your home kept in a locked place, or not?;['Yes, kept in a locked place', 'No, not kept in a locked place', 'Refused'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Guns
20;1;1;In general, is the gun in your home kept loaded, or not?;['Yes, kept loaded', 'No, not kept loaded', 'Refused'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Guns
21;1;1;How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Guns
22;1;1;How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Guns
23;1;1;How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Guns
24;1;1;How much, if at all, do you think family instability contributes to gun violence in the country today?;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Guns
25;1;1;how big of a problem was gun violence in the community where you spent the majority of time when you were growing up?;['A very big problem', 'A moderately big problem', 'A small problem', 'Not a problem at all'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Guns
26;1;1;Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection;['Yes, was a reason', 'No, was not a reason', 'Refused'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Guns
27;1;1;Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For hunting;['Yes, was a reason', 'No, was not a reason', 'Refused'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Guns
28;1;1;Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For sport shooting, including target shooting and trap and skeet;['Yes, was a reason', 'No, was not a reason', 'Refused'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Guns
29;1;1;Thinking about the people in the community where you spent the majority of time when you were growing up, as far as you know, how many people owned guns?;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Guns
30;1;1;How often, if ever, did you go shooting or to a gun range when you were growing up?;['Always', 'Often', 'Sometimes', 'Rarely', 'Never'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Guns
31;1;1;How often, if ever, did you use air guns, such as paintball, BB or pellet guns when you were growing up?;['Always', 'Often', 'Sometimes', 'Rarely', 'Never'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Guns
32;1;1;Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns in a locked place;['Very important', 'Somewhat important', 'Not too important', 'Not at all important'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Guns
33;1;1;Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns unloaded;['Very important', 'Somewhat important', 'Not too important', 'Not at all important'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Guns
34;1;1;Thinking about gun owners who do not have children in their home how important do you think it is for them to: Take gun safety courses;['Very important', 'Somewhat important', 'Not too important', 'Not at all important'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Guns
35;1;1;Thinking about gun owners who do not have children in their home how important do you think it is for them to: Advise visitors that there are guns in the house;['Very important', 'Somewhat important', 'Not too important', 'Not at all important'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Guns
36;1;1;Thinking about gun owners who do not have children in their home how important do you think it is for them to: Advise visitors with children that there are guns in the house;['Very important', 'Somewhat important', 'Not too important', 'Not at all important'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Guns
37;1;1;Thinking about gun owners who do not have children in their home how important do you think it is for them to: Store guns and ammunition separately;['Very important', 'Somewhat important', 'Not too important', 'Not at all important'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Guns
38;1;1;Thinking about gun owners who have children in their home, how important do you think it is for them to: Advise visitors that there are guns in the house;['Very important', 'Somewhat important', 'Not too important', 'Not at all important'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Guns
39;1;1;Thinking about gun owners who have children in their home, how important do you think it is for them to: Advise visitors with children that there are guns in the house;['Very important', 'Somewhat important', 'Not too important', 'Not at all important'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Guns
40;1;1;For this question, please think about your child or children who are under 18. Have you ever talked with your child or children about gun safety?;['Yes', 'No', 'I do not have children under 18', 'Refused'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Guns
41;1;1;How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?;['Always', 'Often', 'Sometimes', 'Rarely', 'Never'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Guns
42;1;1;And would you say you never carry a handgun or pistol because you don't want to or for some other reason?;['Don't want to carry', 'Some other reason', 'Refused'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Guns
43;1;1;How often, if ever, do you visit websites about guns, hunting or other shooting sports;['Always', 'Often', 'Sometimes', 'Rarely', 'Never'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Guns
44;1;1;How often, if ever, do you watch TV programs about guns or watch gun-oriented videos;['Always', 'Often', 'Sometimes', 'Rarely', 'Never'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Guns
45;1;1;Now thinking about how you see yourself, would you describe yourself as;['Very manly or masculine', 'Somewhat manly or masculine', 'Not too manly or masculine', 'Not at all manly or masculine', 'Refused'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;General Opinion
45;1;2;Now thinking about how you see yourself, would you describe yourself as;['Very womanly or feminine', 'Somewhat womanly or feminine', 'Not too womanly or feminine', 'Not at all womanly or feminine', 'Refused'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;General Opinion
46;1;1;On a different topic how important is it to you, personally, to be seen by others as manly or masculine?;['Very important', 'Somewhat important', 'Not too important', 'Not at all important'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;General Opinion
47;1;1;On a different topic how important is it to you, personally, to be seen by others as womanly or feminine?;['Very important', 'Somewhat important', 'Not too important', 'Not at all important'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;General Opinion
48;1;1;In general, how much pressure, if any, do you think men face in our country these days to be interested in sports?;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;General Opinion
49;1;1;In general, how much pressure, if any, do you think men face in our country these days to have many sexual partners?;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;General Opinion
50;1;1;In general, how much pressure, if any, do you think men face in our country these days to join in when other men are talking about women in a sexual way?;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;General Opinion
51;1;1;In general, how much pressure, if any, do you think men face in our country these days to be willing to throw a punch if provoked?;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;General Opinion
52;1;1;In general, how much pressure, if any, do you think men face in our country these days to be emotionally strong?;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;General Opinion
53;1;1;When it comes to raising boys, how important, if at all, do you think it is to encourage boys to talk about their feelings when they are sad or upset these days?;['Very important', 'Somewhat important', 'Not too important', 'Not at all important'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Education
54;1;1;When it comes to raising girls, how important, if at all, do you think it is to encourage girls to stand up for themselves these days?;['Very important', 'Somewhat important', 'Not too important', 'Not at all important'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Education
55;1;1;When it comes to raising girls, how important, if at all, do you think it is to encourage girls to do well in school these days?;['Very important', 'Somewhat important', 'Not too important', 'Not at all important'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Education
56;1;1;How much do you agree or disagree with the following statements about your neighborhood? People in this neighborhood can be trusted;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Trust & Fear
57;1;1;The next question is about local elections, such as for mayor or a school board. Do you;['Always vote in local elections', 'Sometimes vote in local elections', 'Rarely vote in local elections', 'Never vote in local elections', 'Refused'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Politics & Government
58;1;1;In the last 12 months, how often did you eat dinner with any of the other members of your household?;['Always', 'Often', 'Sometimes', 'Rarely', 'Never'];Pew_American_Trends_Panel_disagreement_500.csv;drop;Social
59;1;1;This next question is about friends and family you do not live with. During the last twelve months, how often did you see or hear from friends or family, whether in-person or not?;['Always', 'Often', 'Sometimes', 'Rarely', 'Never'];Pew_American_Trends_Panel_disagreement_500.csv;drop;Social
60;1;1;In the last 12 months, how often did you talk with any of your neighbors?;['Always', 'Often', 'Sometimes', 'Rarely', 'Never'];Pew_American_Trends_Panel_disagreement_500.csv;drop;Social
61;1;1;In the last 12 months, how often did you and your neighbors do favors for each other?;['Always', 'Often', 'Sometimes', 'Rarely', 'Never'];Pew_American_Trends_Panel_disagreement_500.csv;drop;Social
62;1;1;How worried are you right now about not having enough to pay your normal monthly bills?;['Very concerned', 'Somewhat concerned', 'Not too concerned', 'Not at all concerned'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;General Opinion
63;1;1;How much do you agree or disagree with the following statement? I am very optimistic about the future of the Republican Party.;['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Politics & Government
64;1;1;How much do you agree or disagree with the following statement? I am very optimistic about the future of the Democratic Party.;['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Politics & Government
65;1;1;Please tell us whether you are satisfied or dissatisfied with your current job or career.;['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Economy & Work
66;1;1;How much do you agree or disagree with the following statement? Generally speaking most people can be trusted to do the right thing.;['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree'];Pew_American_Trends_Panel_W32.csv;keep;Trust & Fear
67;1;1;How much do you agree or disagree with the following statement? Generally speaking most people can not be trusted to do the right thing.;['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree'];Pew_American_Trends_Panel_W32.csv;keep;Trust & Fear
68;1;1;How much do you agree or disagree with the following statement? Generally speaking you can't be too careful in dealing with people;['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Trust & Fear
69;1;1;About how many years have you lived in your local community?;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;drop;Social
70;1;1;How important is it to you, personally, to live in a community with access to art, music and theater;['Very important', 'Somewhat important', 'Not too important', 'Not at all important'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Social
71;1;1;How important is it to you, personally, to live in a community that is a good place to raise children;['Very important', 'Somewhat important', 'Not too important', 'Not at all important'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Social
72;1;1;How important is it to you, personally, to live in a community that is racially and ethnically diverse;['Very important', 'Somewhat important', 'Not too important', 'Not at all important'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Social
73;1;1;How important is it to you, personally, to live in a community where you have family nearby;['Very important', 'Somewhat important', 'Not too important', 'Not at all important'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Social
74;1;1;How important is it to you, personally, to live in a community with a strong sense of community;['Very important', 'Somewhat important', 'Not too important', 'Not at all important'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Social
75;1;1;How important is it to you, personally, to live in a community where most people share your religious views;['Very important', 'Somewhat important', 'Not too important', 'Not at all important'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Social
76;1;1;How much do you agree or disagree with the following statement? In the long run, increased focus on sexual harassment and assault will lead to more opportunities for women in the workplace;['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Crime
77;1;1;How much do you agree or disagree with the following statement? In the long run, increased focus on sexual harassment and assault will lead to fewer opportunities for women in the workplace;['Fully agree', 'Somewhat agree', 'Somewhat disagree', 'Fully disagree'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Crime
78;1;1;In general, do you think most people who live in rural areas have values that are;['Very similar to your values', 'Somewhat similar to your values', 'Somewhat different from your values', 'Very different from your values', 'Refused'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Social
79;1;1;In general, how often, if ever, would you say you have face-to-face conversations with any of your neighbors;['Always', 'Often', 'Sometimes', 'Rarely', 'Never'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Social
80;1;1;In general, how often, if ever, would you say you talk on the phone with any of your neighbors;['Always', 'Often', 'Sometimes', 'Rarely', 'Never'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Social
81;1;1;Do you have any neighbors you would feel comfortable asking to watch your children for half an hour in a pinch?;['Yes', 'No', 'Does not apply', 'Refused'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Social
82;1;1;As far as you know, how many of your neighbors are the same race or ethnicity as you;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Social
83;1;1;Thinking about the immigrants who live in your local community, in general, would you say their impact on the community has been;['Mostly positive', 'Mostly negative', 'Neither positive nor negative', 'Refused'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Social
84;1;1;Regardless of whether you would want to move, how likely is it that you will move to a different community at some point in the future?;['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Social
85;1;1;If you could move to a different community, would you want to;['Stay in an urban area', 'Move to a suburban area', 'Move to a rural area', 'Refused'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Social
85;1;2;If you could move to a different community, would you want to;['Stay in a suburban area', 'Move to an urban area', 'Move to a rural area', 'Refused'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Social
85;1;3;If you could move to a different community, would you want to;['Stay in a rural area', 'Move to an urban area', 'Move to a suburban area', 'Refused'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Social
86;1;1;According to the U.S. Census Bureau, in the next 25 to 30 years, African Americans, Latinos, and people of Asian descent will make up a majority of the population. In general, do you think that this is good or bad for the country?;['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Race & Ethnicity
87;1;1;On a different subject how much, if at all, do white people benefit from advantages in society that black people do not have?;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Race & Ethnicity
88;1;1;As you may know, same-sex marriage is now legal in the U.S. Do you think this is good or bad for our society?;['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Social
89;1;1;If you were asked to use one of these commonly used names for the social classes, which would you say you belong in?;['Upper class', 'Upper-middle class', 'Middle class', 'Lower-middle class', 'Lower class', 'Refused'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;General Opinion
90;1;1;How often do you choose foods to eat because they are healthy and nutritious?;['Always', 'Often', 'Sometimes', 'Rarely', 'Never'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;General Opinion
91;1;1;How often do you choose foods to eat because they are easy and most convenient?;['Always', 'Often', 'Sometimes', 'Rarely', 'Never'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;General Opinion
92;1;1;How much of the food you eat is organic?;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;General Opinion
93;1;1;Do you think organic fruits and vegetables are generally better or worse for one's health than conventionally grown foods?;['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse'];Pew_American_Trends_Panel_disagreement_500.csv;keep;General Opinion
94;1;1;How much health risk, if any, does eating meat from animals that have been given antibiotics or hormones have for the average person over the course of their lifetime?;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;General Opinion
95;1;1;How much health risk, if any, does eating food and drinks with artificial coloring have for the average person over the course of their lifetime?;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;General Opinion
96;1;1;How much health risk, if any, does eating food and drinks with artificial preservatives have for the average person over the course of their lifetime?;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;General Opinion
97;1;1;Even if you are not sure, which is closer to your views? Do you think foods with genetically modified ingredients are generally better or worse for your health than foods with no genetically modified ingredients?;['A lot Better', 'A little Better', 'No difference', 'A little Worse', 'A lot Worse'];Pew_American_Trends_Panel_disagreement_500.csv;keep;General Opinion
98;1;1;How much do you, personally, care about the issue of genetically modified foods?;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;General Opinion
99;1;1;How likely is it that genetically modified foods will lead to more affordably-priced food;['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely'];Pew_American_Trends_Panel_disagreement_500.csv;keep;General Opinion
100;1;1;How likely is it that genetically modified foods will lead to health problems for the population as a whole;['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely'];Pew_American_Trends_Panel_disagreement_500.csv;keep;General Opinion
101;1;1;How likely is it that genetically modified foods will create problems for the environment;['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely'];Pew_American_Trends_Panel_disagreement_500.csv;keep;General Opinion
102;1;1;From what you have heard or read, which of these statements about the development of human life on Earth comes closest to what most biological scientists say?;['Humans have evolved over time due to processes such as natural selection', 'Humans have existed in their present form since the beginning of time', 'Not sure', 'Refused'];Pew_American_Trends_Panel_disagreement_500.csv;persona only;Science
103;1;1;Even if you are not sure, from what you have heard or read, which of these statements about the development of human life on Earth comes closest to what most biological scientists say?;['Humans have evolved over time due to processes such as natural selection', 'Humans have existed in their present form since the beginning of time', 'Refused'];Pew_American_Trends_Panel_disagreement_500.csv;drop;Science
104;1;1;In general, how important, if at all, is it to you for someone in high political office to be honest and ethical?;['Very important', 'Somewhat important', 'Not too important', 'Not at all important'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Politics & Government
105;1;1;In general, how important, if at all, is it to you for someone in high political office to be compassionate and empathetic?;['Very important', 'Somewhat important', 'Not too important', 'Not at all important'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Politics & Government
106;1;1;In general, how important, if at all, is it to you for someone in high political office to work well under pressure?;['Very important', 'Somewhat important', 'Not too important', 'Not at all important'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Politics & Government
107;1;1;In general, how important, if at all, is it to you for someone in high political office to be persuasive?;['Very important', 'Somewhat important', 'Not too important', 'Not at all important'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Politics & Government
108;1;1;In general, how important, if at all, is it to you for someone in high political office to maintain a tone of civility and respect in politics?;['Very important', 'Somewhat important', 'Not too important', 'Not at all important'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Politics & Government
109;1;1;In general, how important, if at all, is it to you for someone in a top executive business position to be willing to take risks?;['Very important', 'Somewhat important', 'Not too important', 'Not at all important'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Economy & Work
110;1;1;In general, how important, if at all, is it to you for someone in a top executive business position to provide guidance or mentorship to young employees?;['Very important', 'Somewhat important', 'Not too important', 'Not at all important'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Economy & Work
111;1;1;How much, if anything, do you think having more women in top leadership positions in business and government would do to improve the quality of life for women?;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Economy & Work
112;1;1;How much, if anything, do you think having more women in top leadership positions in business and government would do to improve the quality of life for men?;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Economy & Work
113;1;1;How much, if anything, do you think having more women in top leadership positions in business and government would do to improve the quality of life for all Americans?;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Economy & Work
114;1;1;To what extent do you think the following is a reason why there are fewer women than men in high political offices? Many Americans aren't ready to elect a woman to higher office;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Politics & Government
115;1;1;To what extent do you think the following is a reason why there are fewer women than men in high political offices? Women in politics face gender discrimination;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Politics & Government
116;1;1;To what extent do you think the following is a reason why there are fewer women than men in high political offices? Family responsibilities make it harder for women to run for higher office;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Politics & Government
117;1;1;To what extent do you think the following is a reason why there are fewer women than men in high political offices? Fewer women have the experience required for higher office;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Politics & Government
118;1;1;To what extent do you think the following is a reason why there are fewer women than men in high political offices? Women who run for office are held to higher standards than men;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Politics & Government
119;1;1;To what extent do you think the following is a reason why there are fewer women than men in high political offices? Not as many women are interested in holding higher office;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Politics & Government
120;1;1;To what extent do you think the following is a reason why there are fewer women than men in high political offices? Women aren't encouraged to pursue leadership positions from an early age;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Politics & Government
121;1;1;To what extent do you think the following is a reason why there are fewer women than men in high political offices? Women don't do as good of a job selling their accomplishments;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Politics & Government
122;1;1;To what extent do you think the following is a reason why there are fewer women than men in high political offices? Sexual harassment creates an environment that makes it harder for women to succeed in politics;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Politics & Government
123;1;1;To what extent do you think the following is a reason why there aren't more women in top executive business positions? Many businesses are not ready to hire women for top executive positions;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Economy & Work
124;1;1;To what extent do you think the following is a reason why there aren't more women in top executive business positions? Women in business face gender discrimination;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Economy & Work
125;1;1;To what extent do you think the following is a reason why there aren't more women in top executive business positions? Women aren't tough enough for business;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Economy & Work
126;1;1;To what extent do you think the following is a reason why there aren't more women in top executive business positions? Women don't make as good managers as men;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Economy & Work
127;1;1;To what extent do you think the following is a reason why there aren't more women in top executive business positions? Women are held to higher standards than men;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Economy & Work
128;1;1;To what extent do you think the following is a reason why there aren't more women in top executive business positions? Women have to more to prove themselves than men;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Economy & Work
129;1;1;To what extent do you think the following is a reason why there aren't more women in top executive business positions? Women aren't encouraged to pursue leadership positions from an early age;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Economy & Work
130;1;1;To what extent do you think the following is a reason why there aren't more women in top executive business positions? Women have fewer opportunities to interact with people in senior positions outside of work;['A lot', 'A fair amount', 'Not too much', 'None at all'];Pew_American_Trends_Panel_disagreement_500.csv;keep;Economy & Work
