question_id,question_var_id,answer_var_id,question,answer_options,source
32,1,1,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns in a locked place,"['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
33,1,1,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns unloaded,"['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
34,1,1,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Take gun safety courses,"['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
35,1,1,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Advise visitors that there are guns in the house,"['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
36,1,1,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Advise visitors with children that there are guns in the house,"['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
37,1,1,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Store guns and ammunition separately,"['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
38,1,1,"Thinking about gun owners who have children in their home, how important do you think it is for them to: Advise visitors that there are guns in the house","['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
39,1,1,"Thinking about gun owners who have children in their home, how important do you think it is for them to: Advise visitors with children that there are guns in the house","['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
40,1,1,"For this question, please think about your child or children who are under 18. Have you ever talked with your child or children about gun safety?","['Yes', 'No', 'I do not have children under 18', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
41,1,1,"How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?","['All of the time', 'Most of the time', 'Only some of the time', 'Never', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
42,1,1,And would you say you never carry a handgun or pistol because you don't want to or for some other reason?,"[""Don't want to carry"", 'Some other reason', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
43,1,1,"How often, if ever, do you visit websites about guns, hunting or other shooting sports","['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
44,1,1,"How often, if ever, do you watch TV programs about guns or watch gun-oriented videos","['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
45,1,1,"Now thinking about how you see yourself, would you describe yourself as","['Very manly or masculine', 'Somewhat manly or masculine', 'Not too manly or masculine', 'Not at all manly or masculine', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
45,1,2,"Now thinking about how you see yourself, would you describe yourself as","['Very womanly or feminine', 'Somewhat womanly or feminine', 'Not too womanly or feminine', 'Not at all womanly or feminine', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
46,1,1,"On a different topic how important is it to you, personally, to be seen by others as manly or masculine?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
47,1,1,"On a different topic how important is it to you, personally, to be seen by others as womanly or feminine?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
48,1,1,"In general, how much pressure, if any, do you think men face in our country these days to be interested in sports?","['A lot', 'Some', 'Not too much', 'None at all', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
49,1,1,"In general, how much pressure, if any, do you think men face in our country these days to have many sexual partners?","['A lot', 'Some', 'Not too much', 'None at all', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
50,1,1,"In general, how much pressure, if any, do you think men face in our country these days to join in when other men are talking about women in a sexual way?","['A lot', 'Some', 'Not too much', 'None at all', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
51,1,1,"In general, how much pressure, if any, do you think men face in our country these days to be willing to throw a punch if provoked?","['A lot', 'Some', 'Not too much', 'None at all', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
52,1,1,"In general, how much pressure, if any, do you think men face in our country these days to be emotionally strong?","['A lot', 'Some', 'Not too much', 'None at all', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
53,1,1,"When it comes to raising boys, would you say there is too much emphasis or too little emphasis on encouraging boys to talk about their feelings when they are sad or upset these days, or is it about right?","['Too much emphasis', 'Too little emphasis', 'About right', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
54,1,1,"When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to stand up for themselves these days, or is it about right?","['Too much emphasis', 'Too little emphasis', 'About right', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
55,1,1,"When it comes to raising girls, would you say there is too much emphasis or too little emphasis on encouraging girls to do well in school these days, or is it about right?","['Too much emphasis', 'Too little emphasis', 'About right', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
56,1,1,How much do you agree or disagree with the following statements about your neighborhood? People in this neighborhood can be trusted,"['Definitely agree', 'Somewhat agree', 'Somewhat disagree', 'Definitely disagree', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
57,1,1,"The next question is about local elections, such as for mayor or a school board. Do you","['Always vote in local elections', 'Sometimes vote in local elections', 'Rarely vote in local elections', 'Never vote in local elections', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
58,1,1,"In the last 12 months, how often did you eat dinner with any of the other members of your household?","['Basically every day', 'A few times a week', 'A few times a month', 'Once a month', 'Less than once a month', 'Not at all', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
59,1,1,"This next question is about friends and family you do not live with. During the last twelve months, how often did you see or hear from friends or family, whether in-person or not?","['Basically every day', 'A few times a week', 'A few times a month', 'Once a month', 'Less than once a month', 'Not at all', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
60,1,1,"In the last 12 months, how often did you talk with any of your neighbors?","['Basically every day', 'A few times a week', 'A few times a month', 'Once a month', 'Less than once a month', 'Not at all', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
61,1,1,"In the last 12 months, how often did you and your neighbors do favors for each other?","['Basically every day', 'A few times a week', 'A few times a month', 'Once a month', 'Less than once a month', 'Not at all', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
62,1,1,How worried are you right now about not having enough to pay your normal monthly bills?,"['Very worried', 'Moderately worried', 'Not too worried', 'Not worried at all', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
63,1,1,"Thinking about the future of the Republican Party, would you say that you are","['Very optimistic', 'Somewhat optimistic', 'Somewhat pessimistic', 'Very pessimistic', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
64,1,1,Please tell us whether you are satisfied or dissatisfied with your current job or career.,"['Very satisfied', 'Somewhat satisfied', 'Somewhat dissatisfied', 'Very dissatisfied', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
65,1,1,"Generally speaking, would you say that","['Most people can be trusted', 'Most people cannot be trusted', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
65,1,2,"Generally speaking, would you say that","['Most people can be trusted', ""You can't be too careful in dealing with people"", 'Refused']",Pew_American_Trends_Panel_W32.csv
65,1,3,"Generally speaking, would you say that","['Most people can be trusted to do the right thing', 'Most people cannot be trusted to do the right thing', 'Refused']",Pew_American_Trends_Panel_W32.csv
66,1,1,About how many years have you lived in your local community?,"['Less than 1 year', '1-5 years', '6-10 years', '11-20 years', 'More than 20 years', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
67,1,1,"How important is it to you, personally, to live in a community with access to art, music and theater","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
68,1,1,"How important is it to you, personally, to live in a community that is a good place to raise children","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
69,1,1,"How important is it to you, personally, to live in a community that is racially and ethnically diverse","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
70,1,1,"How important is it to you, personally, to live in a community where you have family nearby","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
71,1,1,"How important is it to you, personally, to live in a community with a strong sense of community","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
72,1,1,"How important is it to you, personally, to live in a community where most people share your religious views","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
73,1,1,"In the long run, do you think the increased focus on sexual harassment and assault will lead to","['More opportunities for women in the workplace', 'Fewer opportunities for women in the workplace', ""Won't make much of a difference"", 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
74,1,1,"In general, do you think most people who live in rural areas have values that are","['Very similar to your values', 'Somewhat similar to your values', 'Somewhat different from your values', 'Very different from your values', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
75,1,1,"In general, how often, if ever, would you say you have face-to-face conversations with any of your neighbors","['Every day', 'Several times a week', 'About once a week', 'About once a month', 'Less than once a month', 'Never', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
76,1,1,"In general, how often, if ever, would you say you talk on the phone with any of your neighbors","['Every day', 'Several times a week', 'About once a week', 'About once a month', 'Less than once a month', 'Never', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
77,1,1,Do you have any neighbors you would feel comfortable asking to watch your children for half an hour in a pinch?,"['Yes', 'No', 'Does not apply', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
78,1,1,"As far as you know, how many of your neighbors are the same race or ethnicity as you","['All of them', 'Most of them', 'About half', 'Only some of them', 'None of them', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
79,1,1,"Thinking about the immigrants who live in your local community, in general, would you say their impact on the community has been","['Mostly positive', 'Mostly negative', 'Neither positive nor negative', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
80,1,1,"Regardless of whether you would want to move, how likely is it that you will move to a different community at some point in the future?","['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
81,1,1,"If you could move to a different community, would you want to","['Stay in an urban area', 'Move to a suburban area', 'Move to a rural area', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
81,1,2,"If you could move to a different community, would you want to","['Stay in a suburban area', 'Move to an urban area', 'Move to a rural area', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
81,1,3,"If you could move to a different community, would you want to","['Stay in a rural area', 'Move to an urban area', 'Move to a suburban area', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
82,1,1,"According to the U.S. Census Bureau, in the next 25 to 30 years, African Americans, Latinos, and people of Asian descent will make up a majority of the population. In general, do you think that this is","['Good for the country', 'Bad for the country', 'Neither good nor bad for the country', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
83,1,1,"On a different subject how much, if at all, do white people benefit from advantages in society that black people do not have?","['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
84,1,1,"As you may know, same-sex marriage is now legal in the U.S. Do you think this is a good thing or a bad thing for our society?","['Very good thing', 'Somewhat good thing', 'Somewhat bad thing', 'Very bad thing', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
85,1,1,"If you were asked to use one of these commonly used names for the social classes, which would you say you belong in?","['Upper class', 'Upper-middle class', 'Middle class', 'Lower-middle class', 'Lower class', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
86,1,1,How often do you choose foods to eat because they are healthy and nutritious?,"['All of the time', 'More than half of the time', 'About half of the time', 'Less than half of the time', 'Never', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
87,1,1,How often do you choose foods to eat because they are easy and most convenient?,"['All of the time', 'More than half of the time', 'About half of the time', 'Less than half of the time', 'Never', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
88,1,1,How much of the food you eat is organic?,"['Most of it', 'Some of it', 'Not too much', 'None at all', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
89,1,1,Do you think organic fruits and vegetables are generally,"[""Better for one's health than conventionally grown foods"", ""Worse for one's health than conventionally grown foods"", ""Neither better nor worse for one's health than conventionally grown foods"", 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
90,1,1,"How much health risk, if any, does eating meat from animals that have been given antibiotics or hormones have for the average person over the course of their lifetime?","['A great deal of health risk', 'Some health risk', 'Not too much health risk', 'No health risk at all', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
91,1,1,"How much health risk, if any, does eating food and drinks with artificial coloring have for the average person over the course of their lifetime?","['A great deal of health risk', 'Some health risk', 'Not too much health risk', 'No health risk at all', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
92,1,1,"How much health risk, if any, does eating food and drinks with artificial preservatives have for the average person over the course of their lifetime?","['A great deal of health risk', 'Some health risk', 'Not too much health risk', 'No health risk at all', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
93,1,1,"Even if you are not sure, which is closer to your views? Do you think foods with genetically modified ingredients are generally","['Better for your health than foods with no genetically modified ingredients', 'Worse for your health than foods with no genetically modified ingredients', 'Neither better nor worse for your health than foods with no genetically modified ingredients', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
94,1,1,"How much do you, personally, care about the issue of genetically modified foods?","['A great deal', 'Some', 'Not too much', 'Not at all', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
95,1,1,How likely is it that genetically modified foods will lead to more affordably-priced food,"['Very likely', 'Fairly likely', 'Not too likely', 'Not at all likely', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
96,1,1,How likely is it that genetically modified foods will lead to health problems for the population as a whole,"['Very likely', 'Fairly likely', 'Not too likely', 'Not at all likely', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
97,1,1,How likely is it that genetically modified foods will create problems for the environment,"['Very likely', 'Fairly likely', 'Not too likely', 'Not at all likely', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
98,1,1,"From what you have heard or read, which of these statements about the development of human life on Earth comes closest to what most biological scientists say?","['Humans have evolved over time due to processes such as natural selection', 'Humans have existed in their present form since the beginning of time', 'Not sure', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
99,1,1,"Even if you are not sure, from what you have heard or read, which of these statements about the development of human life on Earth comes closest to what most biological scientists say?","['Humans have evolved over time due to processes such as natural selection', 'Humans have existed in their present form since the beginning of time', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
100,1,1,"In general, how important, if at all, is it to you for someone in high political office to be honest and ethical?","['Essential', 'Important, but not essential', 'Not important', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
101,1,1,"In general, how important, if at all, is it to you for someone in high political office to be compassionate and empathetic?","['Essential', 'Important, but not essential', 'Not important', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
102,1,1,"In general, how important, if at all, is it to you for someone in high political office to work well under pressure?","['Essential', 'Important, but not essential', 'Not important', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
103,1,1,"In general, how important, if at all, is it to you for someone in high political office to be persuasive?","['Essential', 'Important, but not essential', 'Not important', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
104,1,1,"In general, how important, if at all, is it to you for someone in high political office to maintain a tone of civility and respect in politics?","['Essential', 'Important, but not essential', 'Not important', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
105,1,1,"In general, how important, if at all, is it to you for someone in a top executive business position to be willing to take risks?","['Essential', 'Important, but not essential', 'Not important', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
106,1,1,"In general, how important, if at all, is it to you for someone in a top executive business position to provide guidance or mentorship to young employees?","['Essential', 'Important, but not essential', 'Not important', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
107,1,1,"How much, if anything, do you think having more women in top leadership positions in business and government would do to improve the quality of life for women?","['A lot', 'Some', 'Not much', 'Nothing at all', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
108,1,1,"How much, if anything, do you think having more women in top leadership positions in business and government would do to improve the quality of life for men?","['A lot', 'Some', 'Not much', 'Nothing at all', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
109,1,1,"How much, if anything, do you think having more women in top leadership positions in business and government would do to improve the quality of life for all Americans?","['A lot', 'Some', 'Not much', 'Nothing at all', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
110,1,1,Please indicate whether you think the following is is a reason why there are fewer women than men in high political offices. Many Americans aren't ready to elect a woman to higher office,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
111,1,1,Please indicate whether you think the following is is a reason why there are fewer women than men in high political offices. Women in politics face gender discrimination,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
112,1,1,Please indicate whether you think the following is is a reason why there are fewer women than men in high political offices. Family responsibilities make it harder for women to run for higher office,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
113,1,1,Please indicate whether you think the following is is a reason why there are fewer women than men in high political offices. Fewer women have the experience required for higher office,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
114,1,1,Please indicate whether you think the following is is a reason why there are fewer women than men in high political offices. Women who run for office are held to higher standards than men,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
115,1,1,Please indicate whether you think the following is is a reason why there are fewer women than men in high political offices. Not as many women are interested in holding higher office,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
116,1,1,Please indicate whether you think the following is is a reason why there are fewer women than men in high political offices. Women aren't encouraged to pursue leadership positions from an early age,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
117,1,1,Please indicate whether you think the following is is a reason why there are fewer women than men in high political offices. Women don't do as good of a job selling their accomplishments,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
118,1,1,Please indicate whether you think the following is is a reason why there are fewer women than men in high political offices. Sexual harassment creates an environment that makes it harder for women to succeed in politics,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
119,1,1,"For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Many businesses are not ready to hire women for top executive positions","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
120,1,1,"For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Women in business face gender discrimination","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
121,1,1,"For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Women aren't tough enough for business","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
122,1,1,"For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Women don't make as good managers as men","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
123,1,1,"For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Women are held to higher standards than men","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
124,1,1,"For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Women have to more to prove themselves than men","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
125,1,1,"For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Women aren't encouraged to pursue leadership positions from an early age","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
126,1,1,"For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Women have fewer opportunities to interact with people in senior positions outside of work","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
127,1,1,"For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Women are less likely than men to ask for promotions and raises","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
128,1,1,"For each one of the following, please indicate whether you think it is a reason why there aren't more women in top executive business positions. Sexual harassment creates an environment that makes it harder for women to succeed in business","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
129,1,1,Please indicate whether this is a reason why you think the higher education system in the U.S. is going in the wrong direction. Professors are bringing their political and social views into the classroom,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
130,1,1,Please indicate whether this is a reason why you think the higher education system in the U.S. is going in the wrong direction. Colleges and universities are too concerned about protecting students from views they might find offensive,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
131,1,1,"In general, do you think men or women in high political offices are better at being compassionate and empathetic?","['Men are better', 'Women are better', 'No difference', 'Refused']",Pew_American_Trends_Panel_disagreement_500.csv
